Long,Lat                  Streetscore    Network      Match
-74.013504,40.700909            Safe       Safe       True
-74.013878,40.701               Safe       Safe       True
-74.012878,40.70108             Safe       Safe       True
-74.013268,40.701187            Safe       Safe       True
-74.012115,40.701244            Safe     Unsafe      False
-74.012573,40.701332            Safe       Safe       True
-74.013954,40.701401            Safe       Safe       True
-74.014297,40.701462            Safe     Unsafe      False
-74.011406,40.701477            Safe     Unsafe      False
-74.014694,40.701496            Safe       Safe       True
-74.01181,40.70153              Safe       Safe       True
-74.01049,40.70163              Safe       Safe       True
-74.013344,40.701633            Safe       Safe       True
-74.01265,40.701645             Safe     Unsafe      False
-74.013657,40.701756            Safe     Unsafe      False
-74.010841,40.701801            Safe       Safe       True
-74.011185,40.701805            Safe       Safe       True
-74.014389,40.701832            Safe       Safe       True
-74.013031,40.701839            Safe       Safe       True
-74.014786,40.701866            Safe     Unsafe      False
-74.011955,40.701874            Safe       Safe       True
-74.012337,40.7019              Safe       Safe       True
-74.010117,40.701923            Safe       Safe       True
-74.00972,40.701931             Safe       Safe       True
-74.009071,40.702129            Safe     Unsafe      False
-74.013741,40.702164            Safe       Safe       True
-74.01413,40.702179             Safe       Safe       True
-74.010666,40.702187            Safe     Unsafe      False
-74.011383,40.702194            Safe       Safe       True
-74.009476,40.702206            Safe     Unsafe      False
-74.012924,40.702209            Safe       Safe       True
-74.011749,40.702209            Safe     Unsafe      False
-74.010284,40.702213            Safe     Unsafe      False
-74.01252,40.702236             Safe       Safe       True
-74.008202,40.702286            Safe     Unsafe      False
-74.015289,40.702301          Unsafe       Safe      False
-74.008881,40.702461            Safe       Safe       True
-74.008553,40.702473            Safe       Safe       True
-74.013519,40.702518            Safe     Unsafe      False
-74.01313,40.70253              Safe     Unsafe      False
-74.01429,40.702538             Safe       Safe       True
-74.010834,40.702541            Safe       Safe       True
-74.011208,40.702545            Safe     Unsafe      False
-74.009666,40.702553            Safe       Safe       True
-74.007462,40.70256           Unsafe     Unsafe       True
-74.014671,40.70256             Safe       Safe       True
-74.011955,40.702564            Safe     Unsafe      False
-74.012344,40.702564            Safe     Unsafe      False
-74.010071,40.702568            Safe       Safe       True
-74.007858,40.702576          Unsafe     Unsafe       True
-74.015472,40.702648          Unsafe     Unsafe       True
-74.0159,40.702789            Unsafe     Unsafe       True
-74.00721,40.702839           Unsafe       Safe      False
-74.009109,40.702854            Safe     Unsafe      False
-74.0084,40.702866              Safe       Safe       True
-74.008011,40.702881            Safe       Safe       True
-74.013702,40.702885            Safe     Unsafe      False
-74.014076,40.702888            Safe       Safe       True
-74.010254,40.702892            Safe     Unsafe      False
-74.010643,40.702892            Safe       Safe       True
-74.012932,40.702892            Safe     Unsafe      False
-74.011398,40.7029              Safe       Safe       True
-74.01178,40.702904             Safe     Unsafe      False
-74.01255,40.702904             Safe     Unsafe      False
-74.014854,40.702911            Safe     Unsafe      False
-74.015266,40.702934          Unsafe       Safe      False
-74.0159,40.703182            Unsafe       Safe      False
-74.007393,40.703194            Safe       Safe       True
-74.008568,40.703209            Safe       Safe       True
-74.007797,40.70322           Unsafe       Safe      False
-74.009689,40.703228            Safe     Unsafe      False
-74.013504,40.703232            Safe     Unsafe      False
-74.013123,40.703236            Safe     Unsafe      False
-74.010063,40.703236            Safe       Safe       True
-74.010834,40.703236            Safe       Safe       True
-74.014267,40.703236            Safe       Safe       True
-74.014664,40.703239            Safe       Safe       True
-74.011215,40.703239            Safe     Unsafe      False
-74.011978,40.703247            Safe       Safe       True
-74.01236,40.703247             Safe       Safe       True
-74.015472,40.703255          Unsafe       Safe      False
-74.016487,40.703423            Safe     Unsafe      False
-74.016083,40.703449            Safe       Safe       True
-74.006844,40.703499            Safe       Safe       True
-74.00721,40.70351              Safe       Safe       True
-74.006142,40.70351             Safe       Safe       True
-74.007988,40.703548            Safe     Unsafe      False
-74.008377,40.703552            Safe     Unsafe      False
-74.009132,40.703556            Safe     Unsafe      False
-74.009514,40.703564            Safe       Safe       True
-74.015259,40.703571          Unsafe       Safe      False
-74.010269,40.703575            Safe       Safe       True
-74.014854,40.703575            Safe     Unsafe      False
-74.010643,40.703575            Safe     Unsafe      False
-74.014076,40.703579            Safe       Safe       True
-74.013695,40.703579            Safe       Safe       True
-74.011406,40.703583            Safe     Unsafe      False
-74.012932,40.703583            Safe     Unsafe      False
-74.011787,40.703587            Safe     Unsafe      False
-74.01255,40.703587             Safe       Safe       True
-74.016624,40.703815            Safe     Unsafe      False
-74.015846,40.703846          Unsafe     Unsafe       True
-74.006691,40.703854            Safe     Unsafe      False
-74.00631,40.703857             Safe       Safe       True
-74.007431,40.703873            Safe     Unsafe      False
-74.007805,40.703884            Safe     Unsafe      False
-74.017014,40.703888            Safe     Unsafe      False
-74.008568,40.703892            Safe     Unsafe      False
-74.01545,40.703896           Unsafe     Unsafe       True
-74.008949,40.703899            Safe       Safe       True
-74.009705,40.703911            Safe     Unsafe      False
-74.014664,40.703911            Safe     Unsafe      False
-74.010086,40.703915            Safe     Unsafe      False
-74.014275,40.703915            Safe     Unsafe      False
-74.010841,40.703918            Safe     Unsafe      False
-74.013504,40.703918            Safe       Safe       True
-74.011215,40.703922            Safe       Safe       True
-74.013123,40.703922            Safe     Unsafe      False
-74.011978,40.703926            Safe       Safe       True
-74.01236,40.703926             Safe     Unsafe      False
-74.016403,40.704155            Safe       Safe       True
-74.016029,40.704163          Unsafe     Unsafe       True
-74.00573,40.704189             Safe       Safe       True
-74.006119,40.704201            Safe       Safe       True
-74.006882,40.704201            Safe     Unsafe      False
-74.007256,40.704208            Safe       Safe       True
-74.008011,40.704227            Safe       Safe       True
-74.015251,40.704231          Unsafe       Safe      False
-74.008385,40.704231            Safe       Safe       True
-74.009148,40.704239            Safe     Unsafe      False
-74.014854,40.704243          Unsafe     Unsafe       True
-74.009521,40.704247            Safe       Safe       True
-74.017189,40.704254            Safe       Safe       True
-74.010277,40.704254            Safe     Unsafe      False
-74.014076,40.704254            Safe     Unsafe      False
-74.010658,40.704254            Safe       Safe       True
-74.013695,40.704258            Safe       Safe       True
-74.011414,40.704262            Safe       Safe       True
-74.011787,40.704262            Safe     Unsafe      False
-74.012924,40.704262            Safe       Safe       True
-74.01255,40.704262             Safe     Unsafe      False
-74.005173,40.704514            Safe     Unsafe      False
-74.016579,40.704525            Safe     Unsafe      False
-74.005547,40.704525            Safe       Safe       True
-74.015823,40.704536          Unsafe       Safe      False
-74.006317,40.70454             Safe     Unsafe      False
-74.006699,40.704544            Safe       Safe       True
-74.016975,40.704552            Safe       Safe       True
-74.007454,40.704559            Safe       Safe       True
-74.015442,40.704559          Unsafe     Unsafe       True
-74.007828,40.704567            Safe       Safe       True
-74.008583,40.704571            Safe     Unsafe      False
-74.008957,40.704575            Safe       Safe       True
-74.014656,40.704578            Safe     Unsafe      False
-74.009712,40.704586            Safe       Safe       True
-74.014267,40.704586            Safe       Safe       True
-74.010094,40.70459             Safe     Unsafe      False
-74.010849,40.704594            Safe     Unsafe      False
-74.013496,40.704594            Safe       Safe       True
-74.011223,40.704594            Safe     Unsafe      False
-74.013115,40.704594            Safe       Safe       True
-74.011978,40.704597            Safe       Safe       True
-74.01236,40.704597             Safe       Safe       True
-74.017593,40.704796            Safe       Safe       True
-74.004623,40.704845            Safe     Unsafe      False
-74.005005,40.704853            Safe       Safe       True
-74.016388,40.704868            Safe       Safe       True
-74.005753,40.704872            Safe     Unsafe      False
-74.016006,40.704876            Safe       Safe       True
-74.006134,40.70488             Safe     Unsafe      False
-74.006889,40.704887            Safe       Safe       True
-74.007271,40.704891          Unsafe       Safe      False
-74.017166,40.704895            Safe       Safe       True
-74.015236,40.704903          Unsafe       Safe      False
-74.008018,40.704906            Safe     Unsafe      False
-74.0084,40.704906              Safe     Unsafe      False
-74.014847,40.70491             Safe       Safe       True
